domain,epochs,iter,样本数,F1,EM
bridgereview,10,2,64,0.3987,0.2360
bridgereview,10,2,2844,0.9099,0.8341
bridgereview,10,2,32,0.2053,0.0981
bridgereview,10,2,2048,0.8972,0.8084
bridgereview,10,2,512,0.8429,0.7103
bridgereview,10,2,1024,0.8539,0.7266
bridgereview,10,2,2844,0.9117,0.8435
bridgereview,10,2,16,0.0772,0.0164
bridgereview,10,2,128,0.7257,0.5654
bridgereview,10,2,256,0.7871,0.6589
bridgereview,10,2,64,0.5719,0.4065
bridgereview,10,2,32,0.1834,0.0864
bridgereview,10,2,2048,0.9018,0.7991
bridgereview,10,2,2844,0.9188,0.8458
bridgereview,10,2,512,0.8193,0.6916
bridgereview,10,2,1024,0.8554,0.7477
bridgereview,10,2,16,0.1620,0.0911
bridgereview,10,2,128,0.7151,0.5724
bridgereview,10,2,256,0.7799,0.6449
bridgereview,10,2,64,0.5817,0.4182
bridgereview,10,2,32,0.2227,0.0935
bridgereview,10,2,2048,0.8622,0.7477
bridgereview,10,2,2844,0.9275,0.8621
bridgereview,10,2,512,0.8349,0.7126
bridgereview,10,2,1024,0.8631,0.7453
bridgereview,10,2,16,0.1321,0.0467
bridgereview,10,2,128,0.6812,0.5397
bridgereview,10,2,256,0.7627,0.6121
bridgereview,10,2,64,0.6123,0.4533
bridgereview,10,2,32,0.2857,0.1729
bridgereview,10,2,2844,0.9105,0.8388
bridgereview,10,2,2048,0.8921,0.7921
bridgereview,10,2,512,0.8131,0.6706
bridgereview,10,2,1024,0.8496,0.7266
bridgereview,10,2,16,0.1412,0.0701
